column,dtype,missing_count,missing_pct,n_unique,role
Symbol,object,0,0.0,193,identifier
Company Name,object,0,0.0,193,identifier
Metrics,object,0,0.0,4,identifier
CQ12014,object,8,1.04,506,quarter_value
CQ22014,object,8,1.04,483,quarter_value
CQ32014,object,8,1.04,465,quarter_value
CQ42014,object,8,1.04,487,quarter_value
CQ12015,object,8,1.04,510,quarter_value
CQ22015,object,8,1.04,469,quarter_value
CQ32015,object,8,1.04,467,quarter_value
CQ42015,object,8,1.04,497,quarter_value
CQ12016,object,8,1.04,500,quarter_value
CQ22016,object,8,1.04,473,quarter_value
CQ32016,object,8,1.04,486,quarter_value
CQ42016,object,8,1.04,475,quarter_value
CQ12017,object,8,1.04,510,quarter_value
CQ22017,object,8,1.04,472,quarter_value
CQ32017,object,8,1.04,477,quarter_value
CQ42017,object,8,1.04,484,quarter_value
CQ12018,object,8,1.04,477,quarter_value
CQ22018,object,8,1.04,458,quarter_value
CQ32018,object,8,1.04,454,quarter_value
CQ42018,object,8,1.04,471,quarter_value
CQ12019,object,8,1.04,508,quarter_value
CQ22019,object,8,1.04,451,quarter_value
CQ32019,object,8,1.04,464,quarter_value
CQ42019,object,8,1.04,472,quarter_value
CQ12020,object,8,1.04,474,quarter_value
CQ22020,object,8,1.04,477,quarter_value
CQ32020,object,8,1.04,464,quarter_value
CQ42020,object,8,1.04,460,quarter_value
CQ12021,object,8,1.04,481,quarter_value
CQ22021,object,8,1.04,453,quarter_value
CQ32021,object,8,1.04,448,quarter_value
CQ42021,object,8,1.04,459,quarter_value
CQ12022,object,8,1.04,490,quarter_value
CQ22022,object,8,1.04,473,quarter_value
CQ32022,object,8,1.04,467,quarter_value
CQ42022,object,8,1.04,470,quarter_value
CQ12023,object,8,1.04,479,quarter_value
CQ22023,object,8,1.04,465,quarter_value
CQ32023,object,8,1.04,460,quarter_value
CQ42023,object,8,1.04,458,quarter_value
CQ12024,object,8,1.04,469,quarter_value
CQ22024,object,8,1.04,448,quarter_value
CQ32024,object,8,1.04,447,quarter_value
CQ42024,object,8,1.04,447,quarter_value
