ticker,permco
A,36364
AAPL,7
ABBV,54287
ABT,20017
ADBE,8476
ADI,282
ADM,20207
ADP,20235
ADSK,7623
AEE,21808
AEP,20077
AES,10996
AFL,92
AIG,137
AKAM,17300
ALL,29870
AMAT,194
AME,32054
AMGN,216
AMP,47422
AMT,34770
AMZN,15473
APA,20204
APD,20030
APH,31967
AVB,30345
AVGO,53196
AVY,20238
AXP,90
AZO,29009
BA,20315
BAC,3151
BAX,20277
BBY,7506
BDX,20284
BIIB,11112
BK,20265
BKNG,16454
BLK,36336
BMY,20331
BSX,29489
C,20483
CAT,20408
CB,900
CI,20357
CINF,912
CLX,20463
CME,43791
CMG,50184
CMI,20543
CMS,20361
CNP,20939
COR,53500
COST,7882
CSCO,10486
CSX,20370
CTAS,6304
CTRA,56578
CTSH,16167
CVS,21185
CVX,20440
DE,20566
DHR,20557
DOC,20891
DRI,30886
DUK,20608
DVA,30975
ECL,1467
EFX,20659
EIX,21543
EMR,20643
EOG,22113
ETR,21201
EXC,21396
EXPD,7232
F,20750
FDX,1685
FIS,41673
FISV,8598
FITB,1741
GD,20791
GE,20792
GILD,11300
GIS,20798
GM,53554
GOOG,45483
GOOGL,45483
GPC,20807
GS,35048
HAL,20868
HAS,20887
HIG,31386
HPQ,20908
HSY,20906
HUM,20950
IBM,20990
ICE,48793
IFF,20991
INTC,2367
INTU,12011
IP,20994
IRM,14330
ISRG,37727
ITW,20968
JNJ,21018
JPM,20436
KEY,2535
KMB,21055
KO,20468
KR,21068
LH,9848
LIN,54465
LLY,21102
LMT,21110
LOW,2709
LRCX,7013
MA,50700
MCD,21177
MCK,30521
MDT,2850
MET,37138
META,54084
MKC,2801
MMM,21205
MO,21398
MRK,21188
MS,21224
MSFT,8048
MSI,21230
MU,7065
NDAQ,46282
NEE,20684
NEM,21286
NFLX,43145
NKE,3194
NOC,21303
NSC,21294
NTAP,14152
NTRS,3275
NUE,21308
NVDA,16382
NWSA,54433
OMC,1367
ORCL,8045
OXY,21322
PCAR,3487
PEP,21384
PFE,21394
PG,21446
PLD,32135
PNC,3685
PRU,42524
RF,1620
ROK,31847
ROP,11344
ROST,7684
RTX,21832
SCHW,21578
SNA,4162
SO,21640
SPGI,21179
STT,4260
SWK,21664
SYY,21698
T,21645
TGT,20561
TJX,21949
TMO,4557
TROW,8087
TRV,4293
TXN,21737
UPS,36383
USB,1645
V,52983
VLO,32066
VTR,10302
VZ,20288
WAT,31208
WFC,21305
WM,9804
WMT,21880
WY,21914
XEL,21300
XOM,20678
ZBH,41870
