Symbol,Company Name,avg_transcript_value,avg_dlyret,avg_dlyvol,avg_dlycap
A,Agilent Technologies,15.252500000000001,-0.001393265625,1684213.703125,39359175.9496875
AAPL,Apple Inc.,8.625,0.001206078125,43410067.3125,3561595524.1142187
ABBV,AbbVie,11.2775,-0.0012966093749999,6127817.546875,324801701.49875
ABT,Abbott Laboratories,11.5175,2.8125000000000413e-06,4998564.46875,200850347.524375
ACN,Accenture,12.2125,,,
ADBE,Adobe Inc.,9.005,-0.0020753125,3407989.109375,218088284.3125
ADI,Analog Devices,11.185,-0.0010426875,2844883.75,109731090.5515625
ADM,Archer Daniels Midland,20.37,-0.002363625,2930412.234375,25875035.97875
ADP,Automatic Data Processing,12.3825,0.00101228125,1655250.796875,120432687.293125
ADSK,Autodesk,12.8075,0.001251671875,1370682.890625,63666325.4090625
AEE,Ameren,8.585,0.0004755781249999,1397230.71875,23899873.4278125
AEP,American Electric Power,13.74,-0.00144740625,2715293.921875,51536305.23
AES,AES Corporation,14.9525,-0.00641425,12800519.9375,10618335.153125
AFL,Aflac,13.83,-0.0010564375,2031431.90625,60904770.0184375
AIG,American International Group,9.12,7.720312500000001e-05,3953163.890625,47907637.15203125
AKAM,Akamai Technologies,8.5625,-0.000569640625,1716735.15625,14749837.76703125
ALL,Allstate,10.8925,0.00042434375,1462087.28125,51352150.75265625
AMAT,Applied Materials,12.9675,-0.003022953125,6480808.296875,148401098.58484375
AME,Ametek,19.865000000000002,0.000893875,1203262.859375,42160063.2375
AMGN,Amgen,15.12,-0.0030623125,3160959.703125,159477286.118125
AMP,Ameriprise Financial,22.282500000000002,0.0021478593749999,456235.59375,52181351.28625
AMT,American Tower,21.525,-0.003295671875,2411704.640625,96810389.45578124
AMZN,Amazon,6.6675,0.0027241875,37176306.15625,2151326408.1321874
AON,Aon plc,14.3275,,,
APA,APA Corporation,9.2125,-0.0004126874999999,6357467.34375,8645789.455
APD,Air Products,12.6375,-0.0001960468749999,1382142.484375,69819348.6278125
APH,Amphenol,17.435,0.00115978125,6593554.984375,84365449.6553125
AVB,AvalonBay Communities,19.575,-0.0001750625,627820.15625,32109745.8459375
AVGO,Broadcom,10.0225,0.005470109375,27167297.109375,865726300.055
AVY,Avery Dennison,19.0625,-0.002461625,521216.296875,16408612.33984375
AXP,American Express,12.2575,0.001584984375,2540710.96875,202995630.810625
AZO,AutoZone,12.084999999999999,0.000346125,129983.71875,53708566.78484375
BA,Boeing,12.985,0.0025633125,13235519.296875,110376909.07875
BAC,Bank of America,13.280000000000001,0.0018083125,33615195.0625,338813040.3509375
BAX,Baxter International,15.772499999999999,-0.0039051093749999,4200275.71875,17180174.2890625
BBY,Best Buy,10.2025,-0.002588328125,3006973.921875,19596873.06328125
BDX,Becton Dickinson,14.022499999999999,-0.000812421875,1666605.671875,66749249.1075
BF.B,Brown-Forman,12.765,,,
BIIB,Biogen,11.4725,-0.003603484375,1504577.03125,24577110.19828125
