,missing_count,missing_pct
CQ12019,8,1.04
CQ12022,8,1.04
CQ42019,8,1.04
CQ12020,8,1.04
CQ22020,8,1.04
CQ32020,8,1.04
CQ42020,8,1.04
CQ12021,8,1.04
CQ22021,8,1.04
CQ32021,8,1.04
CQ42021,8,1.04
CQ22022,8,1.04
CQ22019,8,1.04
CQ32022,8,1.04
CQ42022,8,1.04
CQ12023,8,1.04
CQ22023,8,1.04
CQ32023,8,1.04
CQ42023,8,1.04
CQ12024,8,1.04
CQ22024,8,1.04
CQ32024,8,1.04
CQ32019,8,1.04
CQ42024,8,1.04
CQ22016,8,1.04
CQ42018,8,1.04
CQ22014,8,1.04
CQ32014,8,1.04
CQ42014,8,1.04
CQ12015,8,1.04
CQ22015,8,1.04
CQ32015,8,1.04
CQ42015,8,1.04
CQ12016,8,1.04
CQ32016,8,1.04
CQ42016,8,1.04
CQ12017,8,1.04
CQ22017,8,1.04
CQ32017,8,1.04
CQ42017,8,1.04
CQ12018,8,1.04
CQ22018,8,1.04
CQ32018,8,1.04
CQ12014,8,1.04
Metrics,0,0.0
Company Name,0,0.0
Symbol,0,0.0
