quarter,Metrics,median_value
CQ12014,Analyst Selectivity Ratio,41.28
CQ12014,Language Complexity,12.305
CQ12014,Net Positivity,0.97
CQ12014,Numeric Transeprency,2.7199999999999998
CQ12015,Analyst Selectivity Ratio,42.21
CQ12015,Language Complexity,12.35
CQ12015,Net Positivity,1.0150000000000001
CQ12015,Numeric Transeprency,2.8449999999999998
CQ12016,Analyst Selectivity Ratio,41.67
CQ12016,Language Complexity,12.45
CQ12016,Net Positivity,0.88
CQ12016,Numeric Transeprency,2.77
CQ12017,Analyst Selectivity Ratio,42.86
CQ12017,Language Complexity,12.39
CQ12017,Net Positivity,1.07
CQ12017,Numeric Transeprency,2.67
CQ12018,Analyst Selectivity Ratio,40.0
CQ12018,Language Complexity,12.455
CQ12018,Net Positivity,1.24
CQ12018,Numeric Transeprency,2.755
CQ12019,Analyst Selectivity Ratio,42.86
CQ12019,Language Complexity,12.49
CQ12019,Net Positivity,1.13
CQ12019,Numeric Transeprency,2.7
CQ12020,Analyst Selectivity Ratio,40.0
CQ12020,Language Complexity,12.385000000000002
CQ12020,Net Positivity,1.13
CQ12020,Numeric Transeprency,2.6900000000000004
CQ12021,Analyst Selectivity Ratio,41.425
CQ12021,Language Complexity,12.434999999999999
CQ12021,Net Positivity,1.19
CQ12021,Numeric Transeprency,2.39
CQ12022,Analyst Selectivity Ratio,38.46
CQ12022,Language Complexity,12.489999999999998
CQ12022,Net Positivity,1.26
CQ12022,Numeric Transeprency,2.535
CQ12023,Analyst Selectivity Ratio,38.46
CQ12023,Language Complexity,12.415
CQ12023,Net Positivity,1.125
CQ12023,Numeric Transeprency,2.505
CQ12024,Analyst Selectivity Ratio,36.36
CQ12024,Language Complexity,12.52
CQ12024,Net Positivity,1.28
CQ12024,Numeric Transeprency,2.58
CQ22014,Analyst Selectivity Ratio,39.13
CQ22014,Language Complexity,12.13
CQ22014,Net Positivity,0.96
CQ22014,Numeric Transeprency,2.23
CQ22015,Analyst Selectivity Ratio,42.11
CQ22015,Language Complexity,12.29
CQ22015,Net Positivity,0.98
CQ22015,Numeric Transeprency,2.17
CQ22016,Analyst Selectivity Ratio,42.86
CQ22016,Language Complexity,12.24
CQ22016,Net Positivity,0.99
CQ22016,Numeric Transeprency,2.15
CQ22017,Analyst Selectivity Ratio,41.18
CQ22017,Language Complexity,12.28
CQ22017,Net Positivity,1.09
CQ22017,Numeric Transeprency,2.25
CQ22018,Analyst Selectivity Ratio,42.86
CQ22018,Language Complexity,12.379999999999999
CQ22018,Net Positivity,1.205
CQ22018,Numeric Transeprency,2.0949999999999998
CQ22019,Analyst Selectivity Ratio,42.265
CQ22019,Language Complexity,12.475000000000001
CQ22019,Net Positivity,1.0750000000000002
CQ22019,Numeric Transeprency,2.14
CQ22020,Analyst Selectivity Ratio,40.74
CQ22020,Language Complexity,12.7
CQ22020,Net Positivity,0.27
CQ22020,Numeric Transeprency,1.71
CQ22021,Analyst Selectivity Ratio,40.74
