quarter,non_missing_obs
CQ12014,744
CQ12015,744
CQ12016,732
CQ12017,740
CQ12018,736
CQ12019,740
CQ12020,731
CQ12021,744
CQ12022,736
CQ12023,744
CQ12024,748
CQ22014,740
CQ22015,724
CQ22016,732
CQ22017,740
CQ22018,736
CQ22019,736
CQ22020,732
CQ22021,736
CQ22022,736
CQ22023,744
CQ22024,744
CQ32014,732
CQ32015,732
CQ32016,728
CQ32017,740
CQ32018,736
CQ32019,732
CQ32020,744
CQ32021,744
CQ32022,740
CQ32023,744
CQ32024,740
CQ42014,736
CQ42015,736
CQ42016,720
CQ42017,740
CQ42018,736
CQ42019,740
CQ42020,736
CQ42021,740
CQ42022,744
CQ42023,744
CQ42024,748
