,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
dlyclose,495710.0,160.1597645936132,281.336452279771,2.1,12.22,24.32,55.04,91.62,161.4575,466.5954999999999,1584.326399999999,5300.34,277,0.06
dlyopen,495710.0,160.14400450606203,281.32409245205264,2.2,12.23,24.3,55.02,91.6,161.45,466.5909999999998,1583.609199999997,5300.0,277,0.06
dlyhigh,495710.0,161.79216613370724,284.35532557508094,2.6,12.4,24.6,55.56,92.5,163.02,471.52549999999985,1598.971049999996,5337.24,277,0.06
dlylow,495710.0,158.45774681259203,278.202185103799,1.93,12.06,24.0,54.5,90.68,159.86,461.5,1564.991899999972,5260.0,277,0.06
dlyprc,495986.0,160.12633995052286,281.26303215302556,2.1,12.22,24.33,55.05,91.62,161.42,466.4175,1583.9945000000007,5300.34,1,0.0
dlyret,495984.0,0.0005988226777476693,0.018232639198412913,-0.538647,-0.049261,-0.02575985,-0.007398,0.000757,0.008801,0.025916699999999952,0.04967667999999993,0.646465,3,0.0
dlyretx,495984.0,0.0005085932288138326,0.01825544767223994,-0.538647,-0.04943017,-0.025914,-0.007513,0.00068,0.008735,0.025851849999999975,0.049602189999999886,0.646465,3,0.0
dlyvol,495986.0,6450504.697392669,13088237.087469013,0.0,170897.50000000003,456500.25,1292173.75,2667740.0,6254771.25,24570391.25,60267657.800000004,657542346.0,1,0.0
shrout,495987.0,1057451.7818430725,1747421.5351247515,9064.0,23827.0,91438.0,236145.0,457451.0,994127.0,4297435.0,8698115.0,24568840.0,0,0.0
dlycap,495986.0,101967319.96419406,223487527.78803346,38249.4,3944609.1375000007,9853093.677499998,21856594.65,44457098.58,101278499.125,325328921.51250005,950857110.0,3915300473.46,1,0.0
dlycumfacpr,495987.0,1.9849551244373045,5.27799877622808,0.202169669397,1.0,1.0,1.0,1.0,1.0,4.0,39.938,70.0,0,0.0
dlycumfacshr,495987.0,1.9721296343855785,5.266150112109736,0.125,1.0,1.0,1.0,1.0,1.0,4.0,28.0,70.0,0,0.0
sprtrn,495987.0,0.000479747836132802,0.01093421668573588,-0.119841,-0.032037,-0.016401,-0.00375,0.000648,0.005675,0.01527,0.025966,0.093828,0,0.0
vwretd,495987.0,0.0004861167087040588,0.010793720463271955,-0.118168,-0.031351,-0.01622,-0.003839,0.000701,0.005654,0.015413,0.025437,0.091556,0,0.0
ewretd,495987.0,0.00036144088655549436,0.010538132391307261,-0.107631,-0.026455,-0.015496,-0.004556,0.000711,0.00576,0.015483,0.024626,0.082175,0,0.0
