column,dtype,missing_count,missing_pct,n_unique
dlyclose,float64,277,0.06,63745
dlyopen,float64,277,0.06,64679
dlylow,float64,277,0.06,102406
dlyhigh,float64,277,0.06,102668
securitytype,object,0,0.0,1
sharetype,object,0,0.0,1
usincflg,object,0,0.0,1
shradrflg,object,0,0.0,1
dlycumfacshr,float64,0,0.0,16
dlycumfacpr,float64,0,0.0,44
siccd,int64,0,0.0,156
ticker,object,0,0.0,185
permco,int64,0,0.0,186
permno,int64,0,0.0,188
cusip,object,0,0.0,198
naics,int64,0,0.0,201
issuernm,object,0,0.0,204
sprtrn,float64,0,0.0,2640
vwretd,float64,0,0.0,2643
ewretd,float64,0,0.0,2644
dlycaldt,datetime64[ns],0,0.0,2768
shrout,int64,0,0.0,11203
dlyprc,float64,1,0.0,63856
dlyret,float64,3,0.0,84346
dlyretx,float64,3,0.0,84401
dlycap,float64,1,0.0,477976
dlyvol,float64,1,0.0,479794
